交易时间,公众账号ID,商户号,特约商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2015-10-07 09:40:13,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1008840271201510071114603836,`151007450666771116247,`ocBwEs3NGqhEGwMwLUkyqmzK7mv4,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-08 12:26:37,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1003470271201510081126938608,`151008983144250612200,`ocBwEs7AjcDH_j8OBxjvoNWUhuAg,`NATIVE,`SUCCESS,`CMB_CREDIT,`CNY,`698.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`4.19000,`0.60%
`2015-10-08 14:40:45,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1006190271201510081128401151,`15100889781036311510,`ocBwEs290IUqrI-d1ukmvs97G3ls,`NATIVE,`SUCCESS,`CCB_DEBIT,`CNY,`698.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`4.19000,`0.60%
`2015-10-08 08:55:55,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1008090271201510081124736847,`151008688466771117152,`ocBwEs6wHK_9oduyIn5ZIIY6suqI,`NATIVE,`SUCCESS,`CCB_CREDIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-08 14:24:22,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1008370271201510081128219475,`151008045166771113623,`ocBwEs-oeL5uzOIWyp0VdPRMz0jc,`NATIVE,`SUCCESS,`CCB_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-08 17:16:07,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1008760271201510081130016723,`151008098666981523028,`ocBwEsxyJ1w7upz5NcgxPDCliHQw,`NATIVE,`SUCCESS,`ABC_CREDIT,`CNY,`2211.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`13.27000,`0.60%
`2015-10-08 09:47:56,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1009510271201510081125042911,`151008478166771113968,`ocBwEs9OkUGolrg4dZick8v39SI0,`NATIVE,`SUCCESS,`CCB_CREDIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-11 00:17:21,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1001620271201510111155875442,`151010486866771112444,`ocBwEs5MaDZu4cYS1U3UwhVitfUQ,`NATIVE,`SUCCESS,`CCB_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-11 23:19:53,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1005800271201510111166336509,`151011192166923214779,`ocBwEs-NyXfJBDPrHfkmjL_3A-DA,`NATIVE,`SUCCESS,`CCB_CREDIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-10 08:35:01,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1003180271201510101145680436,`151010915266771115553,`ocBwEs5n4l2zVUeEIhTb16y2zHwU,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
