abide                         v.遵守
capacity                      n.容量;能力;接受力
norm                           n.准则,规范,准则
normal                         a.普通的;正规的,标准的
establish                     v.建立;安置,使定居
establishment                 n.建立,设立,建立的机构
stability                      n.稳定,安定
abound                        a.丰富，大量存在
abundant                      a.丰富的，充裕的
abroad                        adv.宽广；在国外
abrupt                        a.唐突的
disrupt                       vt.使混乱，使崩溃，使分裂
absent                        a.缺席的
absence                       n.缺席
extract                       v./n.拔出;摘录 n.抽取物
attract                       v.吸引
attractive                    a.有吸引力的
academic                      a.学院的；学术的
academy                       n.学院
excel                         vi.擅长 vt.胜过
acceptance                    n.接受
susceptible                    a.易受影响的;易受感动的;易受感染的
access                        n.入口；享用权 v.接近
excessive                      a.过多的;过分的;额外
predecessor                    n.前辈，前任
process                        n.过程v.加工,处理
succession                     n.连续,系列;继任
proceed                        v.进行,继续下去;发生
succeed                        vi.成功vt.接替
precede                        v.领先(于),在(…之前);优先
accident                      n.事故
acclaim                       v.欢呼，喝彩
claim                         v.要求n.要求;断言
accompany                     v.陪伴
accomplish                    v.完成，达到目的  
accord                        v.一致，符合
according to                  按照
account                       n.账目 v.报账；解释
accumulate                    v.积累
curious                       a.好奇的, 求知的, 古怪的
secure                         a.(from,against)安全的v.得到
security                       n.安全(感),防御(物),保证(人)
accuse                        v.谴责
accustomed                    a.习惯的
used                           a.用旧了的，习惯于…；过去惯/经常
achieve                       v.成就，成功
acknowledge                   v.承认
acquire                       v.获得，学到
acquaintance                  n.熟人，熟事
acquisition                   n.获得；获得物
active                        a.积极的，活跃的
transaction                    n.办理,处理;交易
agenda                        n.议事日程，待办事项
adapt                         v.使适应，改编
property                       n.财产;性质,特性
address                       n.地址，演讲 v.处理，解决
adequate                      a.足够的，相当的
equipment                     n.设备,装置;才能
equivalent                    [ɪˈkwɪvələnta.(to)相等的n.相等物
adhere                        v.黏贴；坚持   
coherent                      a.一致的，协调的；(话语等)条理清楚的
conjunction                   n.接合，连接；连(接)词
subject                        n.主题a.隶属的
objective                      n.目标a.客观的
adjust                        v.调整，使适应，校正
administration                n.管理
admission                     n.承认
adopt                         v.采纳，收养
advance                       v.前进
advantage                     n.优势
anticipate                    v.预见，期望
advent                        n.到来，来临
convention                     n.大会;惯例;公约
conversely                    ad.相反地
reverse                        n.相反a.相反的
version                        n.版本;译本;说法
affect                        v.影响
affirm                        v.断言，确认
confirm                       v.使更坚固;(进一步)证实;确认
fluctuate                     [ˈflʌktʃueɪt v.(使)波动;(使)起伏
influential                    a.有影响的;有权势的
afford                        v.负担得起
aggravate                     v.加重
alleviate                     v.减轻
congress                      n.(代表)大会;(美国等国的)国会,议会
airline                       n.航线，航空公司
alert                         a.警惕的
alien                         a.外国的，相异的
allege                        v.宣称，断言
linguistic                    a.语言的，语言学的
alliance                      n.结盟，同盟
allowance                     n.津贴，补贴；默许
alter                         v.变更
amiable                       a.和蔼的
amaze                         v.使大吃一惊
ambiguous                     a.模棱两可的，含糊的
vague                          a.不明确的,含糊的,暧昧的
extravagant                   a.奢侈的;过分的;(言行等)放肆的   
amend                         v.修改
amuse                         v.使娱乐，使消遣
analyze                       v.分解；分析
synthetic                      a.合成的,人造的;综合的
apart                         a.分开的
department                    n.部门;系
departure                     n.离开,起程
partial                        a.部分的;偏袒的,偏爱的
participate                    v.(in)参与;分享;含有
appeal                        v.恳求，上诉；吸引
plead                          v.恳求;为…辩护;提出…为理由
competitive                   a.竞争的；好竞争的；(价格等的)有竞争力的
application                   n.申请；应用
appraisal                     n.评价，估量   
appreciate                    v.欣赏，鉴赏；感激
precious                       	a.珍贵的,贵重的
approach                      v.接近 n.途径，方法
routine                        n.常规 a.常规的
approve                       v.批准
argue                         v.争论；主张
arouse                        v.唤起
arrest                        v.逮捕，拘捕
arrogant                      a.傲慢的，自大的
articulate                    a.有关节的；发音清晰的
artistic                      a.艺术的
descend                       v.下来,下降;遗传(指财产,气质,权利)
transcend                      vt.超出,超越(经验、知识、能力的范围)
insult                         vt./n.侮辱,凌辱
assert                        v.断言，声称   
assess                        v.评估，评价
asset                         n.资产
similar                        a.(to)相似的,类似的
eliminate                     vt.除去;淘汰;排(删,消)除
assist                        v.协助
resistant                      a.(to)抵抗的,有抵抗力的
associate                     v.使发生联系
assure                        v.保证
insure                         vt.保险,给…保险;保证
detach                        vt.分开, 分遣, 派遣(军队)
contain                       v.包含；容忍；可被...除尽
content                       n.容量a.(with)满足的
entertain                     n.事业,企(事)业单位;事业心
maintain                       v.维修,保养,维持
obtain                         v.获得,得到
retain                         v.保持,保留
sustain                        vt.支撑;维持,经受
attempt                       v.试图，尝试
tempt                          v.诱惑,引诱;吸引
